run_id,stage,task,metric_name,metric_value,"notes",timestamp
run_1778801173,Batch ETL,task,bronze_latency_sec,51.87365412712097,"Traitement de 323291 évènements bruts",2026-05-15T01:26:13.499189
run_1778801179,Batch ETL,task,silver_latency_sec,5.522043228149414,"Nettoyage de 323291 évènements",2026-05-15T01:26:19.397432
run_1778801181,Batch ETL,task,gold_latency_sec,1.7955310344696045,"Agrégation des dépôts réussie",2026-05-15T01:26:21.193447
run_1778801184,Streaming,task,streaming_trigger_latency,5,"Batch 3",2026-05-15T01:26:24.612094
run_1778801272,Streaming,task,streaming_trigger_latency,14,"Batch 3",2026-05-15T01:27:52.053958
run_1778801299,Text,task,query_latency_fix_ms,309.5977306365967,"Found 24128 docs",2026-05-15T01:28:19.035258
run_1778801299,Text,task,query_latency_bug_ms,109.85803604125977,"Found 1708 docs",2026-05-15T01:28:19.145283
run_1778801299,Text,task,query_latency_feature_ms,75.07538795471191,"Found 767 docs",2026-05-15T01:28:19.220506
run_1778801310,Text,task,storage_ratio_pct,53.576634203897044,"Parquet vs CSV",2026-05-15T01:28:30.359601
run_1778801329,Iterative,task,pagerank_delta,0.7162205602056391,"Iteration 1",2026-05-15T01:28:49.609133
run_1778801331,Iterative,task,pagerank_delta,0.2879600641256986,"Iteration 2",2026-05-15T01:28:51.855719
run_1778801332,Iterative,task,pagerank_delta,None,"Iteration 3",2026-05-15T01:28:52.403402
run_1778801413,Batch ETL,task,bronze_latency_sec,44.247371435165405,"Traitement de 323291 évènements bruts",2026-05-15T01:30:13.132985
run_1778801418,Batch ETL,task,silver_latency_sec,4.445916175842285,"Nettoyage de 323291 évènements",2026-05-15T01:30:18.173130
run_1778801419,Batch ETL,task,gold_latency_sec,1.8222296237945557,"Agrégation des dépôts réussie",2026-05-15T01:30:19.995675
run_1778801510,Streaming,task,streaming_trigger_latency,12,"Batch 3",2026-05-15T01:31:50.748206
run_1778801534,Text,task,query_latency_fix_ms,224.20883178710938,"Found 24128 docs",2026-05-15T01:32:14.819579
run_1778801534,Text,task,query_latency_bug_ms,82.0319652557373,"Found 1708 docs",2026-05-15T01:32:14.901761
run_1778801534,Text,task,query_latency_feature_ms,77.9271125793457,"Found 767 docs",2026-05-15T01:32:14.979842
run_1778801543,Text,task,storage_ratio_pct,53.49821664363289,"Parquet vs CSV",2026-05-15T01:32:23.473286
run_1778801560,Iterative,task,pagerank_delta,0.6866576893215606,"Iteration 1",2026-05-15T01:32:40.409380
run_1778801565,Iterative,task,pagerank_delta,0.1423944947583112,"Iteration 2",2026-05-15T01:32:45.591116
run_1778801571,Iterative,task,pagerank_delta,0.0,"Iteration 3",2026-05-15T01:32:51.183543
run_1778801576,Iterative,task,pagerank_delta,0.0,"Iteration 4",2026-05-15T01:32:56.233984
run_1778801581,Iterative,task,pagerank_delta,0.0,"Iteration 5",2026-05-15T01:33:01.123679
run_1778801586,Iterative,task,pagerank_delta,0.0,"Iteration 6",2026-05-15T01:33:06.877464
run_1778801594,Iterative,task,pagerank_delta,0.0,"Iteration 7",2026-05-15T01:33:14.017813
run_1778801673,Batch ETL,task,bronze_latency_sec,43.08638644218445,"Traitement de 323291 évènements bruts",2026-05-15T01:34:33.143132
run_1778801678,Batch ETL,task,silver_latency_sec,4.986118793487549,"Nettoyage de 323291 évènements",2026-05-15T01:34:38.500183
run_1778801680,Batch ETL,task,gold_latency_sec,1.7778687477111816,"Agrégation des dépôts réussie",2026-05-15T01:34:40.278285
run_1778801771,Streaming,task,streaming_trigger_latency,12,"Batch 3",2026-05-15T01:36:11.007972
run_1778801793,Text,task,query_latency_fix_ms,226.18603706359863,"Found 24128 docs",2026-05-15T01:36:33.180032
run_1778801793,Text,task,query_latency_bug_ms,74.54895973205566,"Found 1708 docs",2026-05-15T01:36:33.254762
run_1778801793,Text,task,query_latency_feature_ms,82.67784118652344,"Found 767 docs",2026-05-15T01:36:33.337616
run_1778801801,Text,task,storage_ratio_pct,53.49821664363289,"Parquet vs CSV",2026-05-15T01:36:41.227632
run_1778802002,Batch ETL,task,bronze_latency_sec,43.04860186576843,"Traitement de 323291 évènements bruts",2026-05-15T01:40:02.185097
run_1778802007,Batch ETL,task,silver_latency_sec,4.7700183391571045,"Nettoyage de 323291 évènements",2026-05-15T01:40:07.330215
run_1778802009,Batch ETL,task,gold_latency_sec,1.7059423923492432,"Agrégation des dépôts réussie",2026-05-15T01:40:09.036563
run_1778802122,Streaming,task,streaming_trigger_latency,5,"Batch 3",2026-05-15T01:42:02.339747
run_1778802213,Text,task,query_latency_fix_ms,344.01845932006836,"Found 24128 docs",2026-05-15T01:43:33.304855
